,date,tweet,HASHTAG,count_hashtag
31,2018-12-02,【职场性骚扰调查报告】今年， #Metoo 运动轰轰烈烈地开展。8月，我国民法典草案增加了禁止性骚扰的条款。与此同时，在一些曝光了的职场性骚扰案例中，很多用人单位的回应令人失望。目前我国职场性骚扰状况如何？用人单位在反性骚扰方面的缺位有多严重？ 广州性别中心的调查： @LINK  pic.twitter.com/ANeAce28Zb,[],0
32,2018-11-29,「#MeToo 风潮蔓延全世界，实际感受到以女性的性概念相关讯息的机会增加了。现在能感受到女性所处的环境比在「少女时代」活动时候改善很多了。现在最在乎包括自己在内的女性该拥有什么或应该做什么。我努力的原动力来自于抱持着自信及感受自己身为女性的可能性，并努力以期能活跃于这个社会的想法。」  pic.twitter.com/5aDFdFLtpO,[],0
33,2018-11-27,明显性别歧视， #MeToo 运动还要继续深入！  @LINK …,[],0
34,2018-11-27,明显性别歧视， #MeToo 运动还要继续深入！,[],0
35,2018-11-27,#MeToo 唤醒女演员自保意识！ 好莱坞多了「床戏指导员」😳  可以提供女演员更好的保障，以及确保未受不当侵犯 👍  @LINK ,[],0
36,2018-11-26,【通过「抛弃紧身胸衣运动」，韩国女性反对「以貌取人」】在 #Metoo 运动的推动下，越来越多的韩国女性试图摆脱该国严苛的审美标准以及人们对女性以貌取人的态度。」正是在这样的语境下  @LINK  pic.twitter.com/hIGWxRDR5x,[],0
37,2018-11-26,#NotMe #METOO 人权喊了这么多年，你依然在歧视别人，一点都不皿煮,['NOTME'],1
38,2018-11-26,不知道你是博士应该没事，知道了的话11月的 #Metoo 名单应该可以上,[],0
39,2018-11-26,反性骚性侵「#MeToo」浪潮席卷韩国之际，李载禄的3名信徒今年稍早出面指控，诉说李载禄如何召唤她们到公寓并伸出狼爪。有8名女性提出刑事诉讼，指称发现李载禄长期以来对她们强暴和骚扰达「数十次」。,[],0
40,2018-11-25,#MeToo 光明日报记者周洪双性侵实习生  pic.twitter.com/ObXjS2MFGn,[],0
41,2018-11-24,「在运动成功地把许多『坏蛋』拖下来，弄到身败名裂之际，真正受到法律制裁的其实不多。网路上的言论不能成为『证言』（testimony），而只是未审先判或者不审自判的意见，甚至是被预设的立场所左右的偏见。」 #MeToo  @LINK …,[],0
42,2018-11-24,Open debate on Faith and Sexual Harassment. #metoo in Hong Kong.   My friend is Minnie Li is broadcasting the debate on her FB ( @LINK ) 直播「信仰与性骚扰公开论坛」。 同时直播的还有Gdottv与门徒媒体，有兴趣的朋友欢迎到现场或在网上看直播。 pic.twitter.com/smIMrXaOfn,[],0
43,2018-11-22,如果在有带有精液床单这种实锤证据的情况下刘强东最后被判无罪，那只能说美帝的 #metoo 运动就是个笑话。  @LINK …,[],0
44,2018-11-21,好，我想发起一个投票，你觉得比尔柯林顿与卢文斯基的婚外情是不是属于 #MeToo 呢？ 为什么？请多多投票啊😘🙏,[],0
45,2018-11-20,这个所谓的发布会，不是说规模如何宏大、盛况如何空前么？！ PPT简陋到令人发指。 班农说郭鬼说得都是都是真的。 是啊，真的跟什么似的。真的跟他喜欢标榜自己多么多么尊重女人似的。 2个小时过去了，旁听的人越来越少，小蚂蚁都要坐不住了，可惜，就是给不出证据🤣 @MENTION @MENTION #MeToo  @LINK …,[],0
46,2018-11-19,【新东方CEO俞敏洪发表不当言论，致歉毫无诚意，再引怒火】 辣评：女性的拜金和择偶观不是因，是果，且是一种很苦的果。 在这个恶性循环的社会大环境下，男性和女性食的都是苦果，男性压力更大，女性选择更少，大家都不自由。没有谁是万恶之源，同一时空下，所有人都被串在一张动弹不得的网上。 #metoo  pic.twitter.com/ko0FQJpT3h,[],0
47,2018-11-19,人权课 在讲男生 #metoo 的事情。  pic.twitter.com/ZhzcHiQmdh,[],0
48,2018-11-19, @LINK … 贴连结是为了告诉你我看了。重点是人家期望，但不勉强参与的电影工作者必须遵守。#MeToo 跟 #台湾独立 是完全不同的话题，无法相提并论。,['台湾独立'],1
49,2018-11-19,in this #MeToo moment，Academy Awards want to spotlight the films. 纽约时报原话哦,[],0
50,2018-11-18,其实很多自由主义者都是潜在或者已经是马克思主义者，只是他们不知道自己是而已。但是他们的行为完全看得出来他们信奉的是马克思主义，比如性别自定义，同性恋欺压异性恋，#Metoo 无证据靠口述历史诬陷男人，等等。当然替穆斯林说话，也是他们的本分：  pic.twitter.com/8uzKUeEQZb,[],0
51,2018-11-18,需要 性别平等教育大平台。 因为 我都不知道以后要怎么教小孩了？  #MeToo #越想越不对劲 家暴临时收容中心  @LINK …,['越想越不对劲'],1
52,2018-11-18,厌女撚「「#MeToo」风潮席卷全美，令更多性侵受害者勇于发声。美国教育部周五提出新的大学性行为不检指引，修订大学处理性指控的程序、收窄性骚扰的定义等，同时加强保护被指控的学生，推翻奥巴马政府制定的指引，有美媒形容是一个倒退。 」,[],0
53,2018-11-17,跟我一样有手机电量低于97%就想充电、在家里手机永远放在充电垫上有强迫症的人请勇敢地举手🙋🏻‍♂️ #MeToo##MeToo,[],0
54,2018-11-17,男？会唔会为咗 #metoo 避嫌？,[],0
55,2018-11-17,【辅仁媒体】阳光宅男：身为教练，我都想讲句「#metoo」 (802)  阳光宅男   2013年吕丽瑶与教练合照（体路网站图片）  可能你会好奇点解我会I know that feel，因为我都经历过相同既心理压力，我唯一俾佢好彩既就系我无上报无上YouTube无上电视同 ......  @LINK …,[],0
56,2018-11-17,提到外国「#MeToo」运动，练官表示该运动沿于女性在父权社会，遭受当权男性在制度下侵犯和长期欺凌，终决定不再哑忍，公开事件并反抗。练官续说，法庭不是推动社会运动的地方，作用狭窄，须独立评估每宗案件的证供而裁决，审慎考虑证供是否毫无合理疑点，而疑点利益归于被告。,[],0
57,2018-11-17,#SyncFromMastodon  身为教练，我都想讲句「#metoo」 | 辅仁文志  @LINK …  @LINK …,['SYNCFROMMASTODON'],1
58,2018-11-17,【香港 #MeToo 第一案：社会需要的是一个「完美」的受害人】 #阿离：社会需要合乎期望的受害者，和合乎期望的性侵样式，其实是要维持并巩固既有的性别认知和观念…只要你是合乎社会期望的好人，就不会被侵犯；然而，若然你或你的经历未能合乎期望，那就表示你对事件也有责任… @LINK ,['阿离'],1
59,2018-11-17,身为教练，我都想讲句「#metoo」 | 辅仁文志  @LINK …身为教练，我都想讲句「metoo」,[],0
60,2018-11-17,过往的男士都要尽可能多的瞄这位女士，我也看了好几眼，这不算 #metoo 吧  pic.twitter.com/d10ROaHGNn,[],0
61,2018-11-17,身为教练，我都想讲句「#metoo」: 唔知边个讲过：「喺一个人未被定罪前佢系清白既。」 作为一个过来人，呢句话系唔适用喺呢个情况。…  @LINK ,[],0
62,2018-11-16,【突发】据了解，死者为涉嫌被控 4 项非礼罪的律政司高级检控官王永森，案件在今个月 14 日于东区裁判法院提堂，其案件押后至明年 1 月 17 日，而王永森获准保释候讯。 . . #王永森 #堕楼 #metoo #hk #HongKong #HK01 #香港01 @LINK ,"['王永森', '堕楼', 'HK', 'HONGKONG', 'HK01', '香港01']",6
63,2018-11-16,"#METOO 21CENTURY大韩民国DISABLED▶|:|"" @LINK …""|:|◀의 悲剧 防止 关联하여 地球村government모두가 一心同体의 精神과MIND과思想으로 한 데 뭉쳐 이PROBLEM에 대하여 确实히 제대로똑바로올바르게 바로잡아나아가야겠습니다.",[],0
64,2018-11-16,社评：关注性侵避免公审 摆正心态看待 #MeToo 明报  @LINK  #自由不自由 #民主不民主,"['自由不自由', '民主不民主']",2
65,2018-11-16,★ 对于运动员吕丽瑶 #metoo 8 年前被前教练阿伯性侵一案，因具体证据不足判阿伯无罪，但那位男性法官的判词有些地方相当「有趣」：  官：不相信事主公开事件的动机是为报复或利益...  @LINK …,[],0
66,2018-11-16,有些从来没跟人说过的事情 能找个地方讲出来 也还蛮不错的 最起码是释放了一部分心理压力吧… #MeToo  @LINK ,[],0
67,2018-11-16,"「练官在裁决时强调法庭须依证供评估，做法及逻辑作判断有别于社会运动，亦明言裁决不一定反映事实。不论裁决会否如事主所愿，她挺身而出都值得赞扬。」  今天很多人都在讨论这宗 #Metoo 女运动员性侵案，想说的是""that's how our system works""。是我们该捍卫的东西，也希望更多人能懂。  #murmurs",['MURMURS'],1
68,2018-11-16,讹称 #metoo 的女人， 妳们要知道什么是第九诫。  「不可作假见证谄害人」,[],0
69,2018-11-16,#MeToo in #HK can at least die down before more casualties 🇭🇰 份判词好笑到，钉官破功🤣 @LINK …,['HK'],1
70,2018-11-15,#metoo 在全球例子中，在起初可能只有极度非常少数是真的，其他的都是政治手段、私怨挑拨、利害瓜葛，总之同性侵完全无关系。,[],0
71,2018-11-15,我觉得港女玩 #metoo 同港女做佗枪女魔警一样可怕，绝对是社会公害。,[],0
72,2018-11-15,#metoo 最黑暗的一天   @LINK … @LINK …,[],0
73,2018-11-15,#metoo 下，应该俾非诬陷的受害人同证明清白的被告近乎特权式、皇帝式的全方位权利保障，先可望扫除乜嘢「群众压力不敢出声」「乱咁屈人制造冤案」的质疑,[],0
74,2018-11-15,修例告刑事罪。  调番转如果仲有人话X小姐陷害WH，我都支持整条刑事诽谤罪告人。  当然我都系FF而已，WH其实未必系「完美」例子， 不过 #metoo 最令另一方难心服口服系就算无做过，始终被人「老屈」，名誉扫地，唔系法官话诬告就完全无嘢。,[],0
75,2018-11-15,W.H.太老要收山系一回事，我支持俾压力培正同屈臣氏一定要复聘W.H. ，否则支持修例封校。咁样就无借口话 #metoo 容易造成冤狱云云。矫「枉」必须过正。,[],0
76,2018-11-15,这样吐槽同事不厚道啊 #metoo,[],0
77,2018-11-15,(cont.) … 因为它能在不同脉络下衍生丰富含意，从讨论环境中的毒物、感叹时下恶毒的政治语言，到牛津辞典称为和「有毒男子气概」（toxic masculinity）相关的「#我也是」（#MeToo）运动。 」 那么看起来「toxic masculinity」在大陆中文网路里有个显而易见的对应物……不过我感觉那个词害处较大。 (2/2),['我也是'],1
78,2018-11-15,"针对近期的""我也是""（#MeToo）以及学生声援深圳佳士工人组建工会等校园抗争运动持续发酵，北京大学开始压制异见声音，并加强执政党在大学校园的控制。  @LINK …",[],0
79,2018-11-14,【红通逃犯郑泉官被从美国强制遣返】 2018年11月14日，外逃美国的职务侵占犯罪嫌疑人郑泉官被强制遣返回国。 郑泉官，男，1957年生，湖南省怀化市富达房地产有限公司总经理，涉嫌利用职务便利侵占公司财产2800余万元，2015年潜逃美国。 美国送给中国的🎁🎁 郭文鬼还远么？ #MeToo #红通逃犯 pic.twitter.com/vU4cF3YKMH,['红通逃犯'],1
80,2018-11-13,我很快乐，因为我很期待接下来的每一秒  #BelieveWomen #metoo #weddinghost #janet珍妮 pic.twitter.com/QsZXn6cuph,"['BELIEVEWOMEN', 'WEDDINGHOST', 'JANET珍妮']",3
81,2018-11-12,一间新创透过加密货币让反性侵、性骚受害者能「勇敢发声」#Metoo  @LINK ,[],0
82,2018-11-12,一间新创透过加密货币让反性侵、性骚受害者能「勇敢发声」#Metoo  @LINK  pic.twitter.com/P8wiAfYNF2,[],0
83,2018-11-11,卖完被人 #metoo 点算？ - 伦敦 – 当地W字头超市，日前拒绝出售一款芝士。 唔系因为佢奇臭无比，而系因为佢叫「丑妇芝士 Minger」，超市营销部门表示，虽然知道芝士好，但无法销售到市区或者高档食肆。 但牌子主人不热衷改名，表示个名叫咗几百年...  @LINK ,[],0
84,2018-11-10,rt #MeToo 「@MENTION: 问了几个朋友都说今天什么都没买，那到底是谁在买？」,[],0
85,2018-11-10,#MeToo 但是国内网站强制绑定手机简讯登录验证怎么办啊……,[],0
86,2018-11-10,不知道有木有 #MeToo  运动的女性同志控诉 Bill Maher呀，我挺看好有人起诉他。 他的面相太特别了。。。。太别扭，从内心说，真的。,[],0
87,2018-11-10,这种事台湾应该也不会少，我们应该要硬起来，争取权益！  #metoo #遣散费9000万美元是什么概念? #大公司不代表都有好的公司文化 @LINK …,"['遣散费9000万美元是什么概念', '大公司不代表都有好的公司文化']",2
88,2018-11-09,"""#MeToo 反性骚风潮在 #南韩 有突破性进展，韩国政府的跨部门调查团首度证实，在1980年发生的光州民主运动中，对示威者施以血腥镇压的戒严军曾集体对女性性侵与施虐，目前已知至少有17人受害。受害者包括高中生，大学生和家庭主妇。"" (公视) @LINK ",['南韩'],1
89,2018-11-09,#METOO 专访伊藤诗织：打破日本性侵沉默，我赌的是谁会相信我｜女人迷 Womany  @LINK …,[],0
90,2018-11-08,#METOO 专访伊藤诗织：打破日本性侵沉默，我赌的是谁会相信我｜女人迷 Womany  @LINK …,[],0
91,2018-11-08,#MeToo 平权运动的意图是要让公权力所代表的正义性介入性爱过程当中，以期获得公权力保护。 其本质是希望理性能够介入感性冲动之中，而理性必定要求有可凭借之物作为依托，那么「理性的性爱」或者是「有证人在场的性爱」将是平权运动的最终结果。  @LINK …,[],0
92,2018-11-07,#METOO 专访伊藤诗织：打破日本性侵沉默，我赌的是谁会相信我｜女人迷 Womany  @LINK …,[],0
93,2018-11-07,#METOO 专访伊藤诗织：打破日本性侵沉默，我赌的是谁会相信我｜女人迷 Womany  @LINK …,[],0
94,2018-11-07,【入围流行语大赏】《大叔的爱》成大热　#MeToo、《尸杀片场》打入30强  @LINK …,[],0
95,2018-11-07,外貌的改变，看了好心痛。  #METOO 专访伊藤诗织：对于性侵事件，人们不该只有一种理解方法｜女人迷 Womany  @LINK …,[],0
96,2018-11-07,公费脱衣舞，挑选对男性更有吸引力的女员工参加公司活动...安德玛是时候重新审视其有关性别平等的企业文化了。 #MeToo  @LINK ,[],0
97,2018-11-06,【港闻】有团体早前发表研究报告，发现本港逾 50 宗教内被性骚扰的个案，当中约 2 成受害人被强迫进行性行为。 . . #metoo #性骚扰 #突破汇动青年 #hk #HongKong #HK01 #香港01 @LINK ,"['性骚扰', '突破汇动青年', 'HK', 'HONGKONG', 'HK01', '香港01']",6
98,2018-11-05,禽兽不如！印度4岁女童住院疗伤，竟遭人集体性侵 #印度 #India #性侵 #Sexualinvasion #MeToo #医院 #hostpital @LINK ,"['印度', 'INDIA', '性侵', 'SEXUALINVASION', '医院', 'HOSTPITAL']",6
99,2018-11-04,teilt 女人迷 womany: 女人迷独家专访日本 #METOO 的关键：记者伊藤诗织。2015 年遭日本安倍首相的御用传记作者性侵之后，看她如何促动百年未变的性侵法律修法。  @LINK ... @LINK ,[],0
100,2018-11-04,性暴力在 #朝鲜 是公开、不受重视而且普获容忍的秘密。朝鲜女性若认为有机会伸张正义，可能会说 #MeToo，但她们的声音被金正恩的独裁堵死了。 @LINK  @MENTION pic.twitter.com/SYy5hYUJRH,['朝鲜'],1
101,2018-11-04,有网友说的对，香港真奇怪，体育界有 #metoo，反而演艺界没有。  同样地，自称美式左翼民主的苹果日报很喜欢「追击」演艺界的精神病患者，把精神病视为邪教、绝世瘟疫般要「消灭」，而且从不鼓励演艺界女性的 #metoo 权利，真是很奇怪。,[],0
102,2018-11-04,#METOO 专访伊藤诗织：对于性侵事件，人们不该只有一种理解方法｜女人迷 Womany  @LINK …,[],0
103,2018-11-04,纽约时报、CNN等左粪喉舌看过来，是否也该适当报道一下women诬告陷害案呢，哪怕拿出当初炒作 #卡瓦诺性侵案 十分之一的篇幅：#FakeNews ;#metoo  @LINK …,"['卡瓦诺性侵案', 'FAKENEWS']",2
104,2018-11-03,仲 #metoo ? - 华府 – 最高法官卡文纳嘅参议院听证，早前风云路转，甚至有人女性出黎指证佢强奸。 但呢位自称黎自加州嘅「杜钟斯」，最近承认自己伪造投诉，甚至自己唔系住系加州，甚至未见过卡云拿。佢纯粹觉得提名唔正确，就搞9.....  @LINK ,[],0
105,2018-11-03,#Pasdevague，法国老师们的 #MeToo：当中学生的枪口对准老师，「另类校园霸凌」如何震撼社会？  @LINK  :Auto pickup by wikyou,['PASDEVAGUE'],1
106,2018-11-03,"""# 谷歌员工发起全球罢工，以抗议公司对性骚扰指控处理不当。《纽约时报》报道该公司向被指控性行为不端的一名高管支付了9000万美元的遣散费。一名员工说：'即使有可靠的指控，我们仍然保护最有权势的人的做法，卡瓦诺听证会，#metoo 运动，所有这些事情都在发生。'"" (VOA)  @LINK ",[],0
107,2018-11-02,新一轮 #metoo  @LINK …,[],0
108,2018-11-02,#MeToo Voices From North Korea: 『They Consider Us Toys』 by @MENTION Read it in English and Chinese here @MENTION 「他们把我们当玩物」：朝鲜女性的「我也是」故事 @LINK …,[],0
109,2018-11-01,淫贱有个格，好样衰的所谓高层。  要求女求职者除衫按摩　Google高层涉性骚扰辞职。  @LINK … #Google #meToo,['GOOGLE'],1
110,2018-11-01,在教会里，你就很容易去了『怜悯』那边，质疑自己：是否我不够宽恕呢？  呵呵。。。   教会机构#MeToo事件簿：她们指控「突破汇动青年」员工性骚扰｜深度｜#MeToo 在中国｜端传媒 Initium Media  @LINK … 来自 @MENTION,['METOO事件簿'],1
111,2018-10-31,HHHHHHHa.... LOL. the special counsel Robert Mueller. #MeToo 😂🤣🤣🤣🤣  好好好好好，深得伪君子的真传。  @LINK …,[],0
112,2018-10-31,家庭主妇压力大买包，女CEO压力大买公司。#我支持女权 #Metoo,['我支持女权'],1
113,2018-10-31,除了提出出钱收买假受害者证词，保守派活动家还四处联系正经媒体的记者，尤其是过去曾经报导过 #metoo 事件的记者。希望通过这些成名记者，达到最佳传播效果。但有经验的记者都通过简单地访问就看出其中端倪，没有一家正经媒体上钩，最后只能通过如Gateway Pundits这类极右媒体散播假消息。,[],0
114,2018-10-30,曾经挺郭的北美五朵金花  雾亭  @MENTION  韩梅  美猴王 @MENTION  山琳 @MENTION    张欣萍 携手弃暗投明 从此天高海阔 下一个 且看且行是哪位？ 知识女性的敢爱敢愤是所有人学习的榜样，她们一旦发现自己上当就不再回头了。 小蚂蚁们学着！ #metoo #砸锅 #姐姐妹妹站起来 pic.twitter.com/MILOHYxnRa,"['砸锅', '姐姐妹妹站起来']",2
115,2018-10-30,【教会 #MeToo：「我们不可不站出来，否则有负于其他女性。」】 #因涉及重大公共议题已全文公开  「他一见到妳，就说『点呀靓女』，然后上下打量妳，经常借玩笑挠妳身体。」  6名女性称遭香港老牌基督教青年机构同一员工性骚扰。更多受害人及施害人有待曝光。   @LINK ,['因涉及重大公共议题已全文公开'],1
116,2018-10-29,任务 unlocked. My first ever tech event. 比较好笑的是，一开始在介绍为何办活动、FB理念为何芸芸时，借用了 #MeToo，也同时借用了假新闻跟事实查核等让 Facebook 难堪的事件，反向操作再次宣传了 FB 使命跟责任未尽。呵  pic.twitter.com/kYCkMUVocC,[],0
117,2018-10-29,#Metoo 希望有天能像你一样，勇敢而完整地向别人诉说发生在我身上的事。,[],0
118,2018-10-29,第二天 #metoo 离职,[],0
119,2018-10-28,Android之父离职Google内幕曝光！性侵女员工还获谷歌赔偿9000万美元（约3亿7500万令吉）的巨额资金？  #Android #安卓之父 #Google #MeToo #AndyRubin #TechDaily  @LINK …,"['ANDROID', '安卓之父', 'GOOGLE', 'ANDYRUBIN', 'TECHDAILY']",5
120,2018-10-27,阿离：#ChurchToo 能否洁净上帝的殿？——香港教会的性侵风波｜深度｜#MeToo 在中国｜端传媒 Initium Media  @LINK … via @MENTION,['CHURCHTOO'],1
121,2018-10-27,安卓之父罗宾涉性骚，Google被踢爆帮忙包庇 #Android @MENTION #AndyRubin @MENTION #Google @MENTION #MeToo  @LINK ,"['ANDROID', 'ANDYRUBIN', 'GOOGLE']",3
122,2018-10-27,女人迷Womany | #METOO 专访伊藤诗织：打破日本性侵沉默，我赌的是谁会相信我  @LINK …,[],0
123,2018-10-27,#METOO 专访伊藤诗织：打破日本性侵沉默，我赌的是谁会相信我｜女人迷 Womany  @LINK …,[],0
124,2018-10-26,201 名男性因 #MeToo 运动丢了工作，继任者里女性占了一半  @LINK ,[],0
125,2018-10-26,#METOO 专访伊藤诗织：对于性侵事件，人们不该只有一种理解方法｜女人迷 Womany  @LINK …,[],0
126,2018-10-26,#METOO 专访伊藤诗织：打破日本性侵沉默，我赌的是谁会相信我｜女人迷 Womany  @LINK …,[],0
127,2018-10-26,201 名男性因 #MeToo 运动丢了工作，继任者里女性占了一半 | 好奇心小数据  @LINK …,[],0
128,2018-10-26,女人迷独家专访日本 #METOO 的关键：记者伊藤诗织。2015 年遭日本安倍首相的御用传记作者性侵之后，看她如何促动百年未变的性侵法律修法。   @LINK …,[],0
